Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET Features,969,1121,156,12133,1444.52,66.047%,16.09929,2113.56,1.79,134433.8
GET Contact,951,487,153,8619,550.23,65.931%,15.95183,44.94,1.78,2885.1
TOTAL,1920,807,153,12133,1141.80,65.990%,31.89952,2158.08,3.54,69276.1
